V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,INIT_GP,P_GP,P_AD_DUTY,F_GP,F_AD_DUTY,REVIEW_INIT_GP,CHINA_OFFICIAL_CASE_ID,
Q4_2012,China,CHN-AD-15,CHN-AD-11,UK,GBR,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,6.00,39.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,7-39,Public Notice No.20/2002,6-39,.,0006AC2620001220,
Q4_2012,China,CHN-AD-16,CHN-AD-11,USA,USA,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,49.00,58.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,49-58,Public Notice No.20/2002,49-58,.,0006AC2620001220,
Q4_2012,China,CHN-AD-17,CHN-AD-17,South Korea,KOR,Polystyrene,02/09/2001,12/06/2001,12/06/2001,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Public Notice No.02/2001,Public Notice No.13/2001,.,MI,.,.,0007AC2620010209 ,
Q4_2012,China,CHN-AD-18,CHN-AD-17,Japan,JPN,Polystyrene,02/09/2001,12/06/2001,12/06/2001,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Public Notice No.02/2001,Public Notice No.13/2001,.,MI,.,.,0007AC2620010209 ,
Q4_2012,China,CHN-AD-19,CHN-AD-17,Thailand,THA,Polystyrene,02/09/2001,12/06/2001,12/06/2001,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Public Notice No.02/2001,Public Notice No.13/2001,.,MI,.,.,0007AC2620010209 ,
Q4_2012,China,CHN-AD-20,CHN-AD-17,USA,USA,Lysine and its Esters and Salts Thereof ,06/14/2001,09/29/2001,09/29/2001,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,Public Notice No.13/2001,.,Public Notice No.13/2001,.,.,0008AC2620010619 ,
Q4_2012,China,CHN-AD-21,CHN-AD-17,Indonesia,IDN,Lysine and its Esters and Salts Thereof ,06/14/2001,09/29/2001,09/29/2001,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,Public Notice No.13/2001,.,Public Notice No.13/2001,.,.,0008AC2620010619 ,
Q4_2012,China,CHN-AD-22,CHN-AD-17,South Korea,KOR,Lysine and its Esters and Salts Thereof ,06/14/2001,09/29/2001,09/29/2001,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,Public Notice No.23/2002,.,Public Notice No.13/2001,.,.,0008AC2620010619 ,
Q4_2012,China,CHN-AD-23,CHN-AD-23,South Korea,KOR,Poly(Ethylene Terephthalate) ,08/03/2001,10/29/2002,10/29/2002,A,A,10/29/2002,AVD,02/03/2003,02/03/2003,A,A,02/03/2003,AVD,02/03/2008,2008,AVD,5.00,52.00,G/ADP/N/105/CHN,.,Public Notice No.09/2001,Public Notice No.32/2002,8-52,Public Notice No.03/2003,5-52,.,0009AC2620010803 ,
Q4_2012,China,CHN-AD-24,CHN-AD-24,South Korea,KOR,Of Polyesters,08/03/2001,10/22/2002,10/22/2002,A,A,10/22/2002,AVD,01/03/2003,01/03/2003,A,A,01/03/2003,AVD,02/03/2008,2008,AVD,2.00,48.00,G/ADP/N/105/CHN,.,Public Notice No.10/2001,Public Notice No.21/2002,4-48,Public Notice No.04/2003,2-48,.,0010AC2820010803 ,
