"","DSU_Case_mod","CASE_ID","s.ccodeIMP","IMP_DATE","t.ccodeIMP","i.date","t.ccodeINV","s.ccodeINV","V_NUMBER.x","AD_CTY_NAME","CASE_REPCODE","INV_CTY_NAME","INV_CTY_CODE","PRODUCT","INIT_DATE","P_DUMP_DATE","P_INJ_DATE","P_DUMP_DEC","P_INJ_DEC","P_AD_DATE","P_AD_MEASURE","F_DUMP_DATE","F_INJ_DATE","F_DUMP_DEC","F_INJ_DEC","F_AD_DATE","F_AD_MEASURE","REVOKE_DATE","REVOKE_YEAR","WTO_F_AD_MEASURE","WTO_F_MARGIN_MIN","WTO_F_MARGIN_MAX","WTO_CITATION","s.polity2INV","s.democINV","s.democ.iINV","t.polity2INV","t.democ.iINV","wtopd","s.TX.VAL.AGRI.ZS.UNINV","t.TX.VAL.AGRI.ZS.UNINV","s.NE.TRD.GNFS.ZSINV","t.NE.TRD.GNFS.ZSINV","prevint","s.NY.GDP.PCAP.CDINV","t.NY.GDP.PCAP.CDINV","s.NY.GDP.MKTP.CDINV","t.NY.GDP.MKTP.CDINV","s.NE.EXP.GNFS.ZSINV","t.NE.EXP.GNFS.ZSINV","s.NV.AGR.TOTL.ZSINV","t.NV.AGR.TOTL.ZSINV","sdateINV","cdate","einitdate","t.tenureINV","s.tenureINV","eP_AD_DATE","s.NY.GDP.MKTP.CD_IMP","t.NY.GDP.MKTP.CD_IMP","s.NE.EXP.GNFS.ZS_IMP","t.NE.EXP.GNFS.ZS_IMP","s.NE.TRD.GNFS.ZS_IMP","t.NE.TRD.GNFS.ZS_IMP","s.NY.GDP.PCAP.CD_IMP","t.NY.GDP.PCAP.CD_IMP","s.NV.AGR.TOTL.ZS_IMP","t.NV.AGR.TOTL.ZS_IMP","WTOname.x","s.WTOdate","WTOname.y","t.WTOdate","t.WTOmem","s.WTOmem","t.GATTname","t.GATTdate","s.GATTname","s.GATTdate","s.GATTmem","t.GATTmem","t.polity2_IMP","t.democ_IMP","s.polity2_IMP","s.democ_IMP","s.democ.i_IMP","t.democ.i_IMP","V_NUMBER.y","AD.imposing.country","DSU_Case","DSU.case.descriptor","Exporting.Country","DSU_INIT_YR","AD_INIT_YR","AD_OTH_YR","unique","F_DATE","chal","pan_date","panel_date","panel.i"
"410",NA,"ARG-AD-218",160,"2002",140,2001,140,160,"Q4_2012","Argentina","ARG-AD-218","Brazil","BRA","Pipe Accessories","10/10/01","2/14/02","2/14/02","A","A","8/6/02","DPU","11/29/02","11/29/02","A","A","4/11/03","AVD","MI","2004","AVD","105.92","105.92","G/ADP/N/105/ARG",8,8,1,8,1,1,1.618177593,4.103701107,18.03958519,25.67834696,1,8732.466063,3128.144846,3.25e+11,5.54e+11,9.558790367,12.18144648,4.288049878,5.973379533,"10/10/01",2001-10-10,2001-10-10,2474,670,2002-08-06,1.24e+11,5.04e+11,23.4304137,14.09662327,34.46767997,26.67960011,3285.026171,2810.695347,9.304636934,6.61763262,"Argentina ",1995-01-01,"Brazil ",1995-01-01,1,1,"Brazil",1948-07-30,"Argentina",1967-10-11,1,1,8,8,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"411",NA,"ARG-AD-219",160,"2002",710,2001,710,160,"Q4_2012","Argentina","ARG-AD-219","China","CHN","Pipe Accessories","10/10/01","2/14/02","2/14/02","A","A","8/6/02","DPU","11/29/02","11/29/02","A","A","4/11/03","AVD","MI","2004","AVD","204.5","204.5","G/ADP/N/105/ARG",8,8,1,-7,0,1,1.618177593,0.863739086,18.03958519,43.08019713,0,8732.466063,1041.6377,3.25e+11,1.32e+12,9.558790367,22.60010168,4.288049878,14.39172359,"10/10/01",2001-10-10,2001-10-10,1694,670,2002-08-06,1.24e+11,1.45e+12,23.4304137,25.13437343,34.46767997,47.69731271,3285.026171,1135.447952,9.304636934,13.74274917,"Argentina ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Argentina",1967-10-11,1,NA,-7,0,8,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"413",NA,"ARG-AD-220",160,"2002",140,2001,140,160,"Q4_2012","Argentina","ARG-AD-220","Brazil","BRA","Pork Meat Cuts","11/6/01","3/5/02","3/5/02","A","MI","6/10/02",".","6/28/02","6/28/02","A","N",".",".",".",".",".",".",".",".",8,8,1,8,1,1,1.618177593,4.103701107,18.03958519,25.67834696,1,8732.466063,3128.144846,3.25e+11,5.54e+11,9.558790367,12.18144648,4.288049878,5.973379533,"11/6/01",2001-11-06,2001-11-06,2501,697,2002-06-10,1.24e+11,5.04e+11,23.4304137,14.09662327,34.46767997,26.67960011,3285.026171,2810.695347,9.304636934,6.61763262,"Argentina ",1995-01-01,"Brazil ",1995-01-01,1,1,"Brazil",1948-07-30,"Argentina",1967-10-11,1,1,8,8,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"414",NA,"ARG-AD-221",160,"2002",140,2001,140,160,"Q4_2012","Argentina","ARG-AD-221","Brazil","BRA","Stainless Steel Tubes","11/21/01","3/26/02","3/26/02","A","A","7/3/02","DPU","12/18/02","12/18/02","A","A","5/20/03","DPU","5/20/11","2011","DPU","MI","MI","G/ADP/N/105/ARG",8,8,1,8,1,1,1.618177593,4.103701107,18.03958519,25.67834696,1,8732.466063,3128.144846,3.25e+11,5.54e+11,9.558790367,12.18144648,4.288049878,5.973379533,"11/21/01",2001-11-21,2001-11-21,2516,712,2002-07-03,1.24e+11,5.04e+11,23.4304137,14.09662327,34.46767997,26.67960011,3285.026171,2810.695347,9.304636934,6.61763262,"Argentina ",1995-01-01,"Brazil ",1995-01-01,1,1,"Brazil",1948-07-30,"Argentina",1967-10-11,1,1,8,8,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"416",NA,"ARG-AD-223",160,"2003",710,2002,710,160,"Q4_2012","Argentina","ARG-AD-223","China","CHN","Glyphosate (Herbicide)","4/18/02","9/20/02","9/20/02","A","A","1/10/03",".","9/23/03","9/23/03","A","A",".",".",".",".",".",".",".",".",8,8,1,-7,0,1,1.557061672,0.780540991,34.46767997,47.69731271,0,3285.026171,1135.447952,1.24e+11,1.45e+12,23.4304137,25.13437343,9.304636934,13.74274917,"4/18/02",2002-04-18,2002-04-18,1884,106,2003-01-10,1.57e+11,1.64e+12,21.40645223,29.5575468,33.55295461,56.93216421,4134.50204,1273.640744,9.751272651,12.7973531,"Argentina ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Argentina",1967-10-11,1,NA,-7,0,8,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"417",NA,"ARG-AD-224",160,"2002",900,2002,900,160,"Q4_2012","Argentina","ARG-AD-224","Australia","AUS","Flat Steel or Iron Products","5/30/02","10/22/02","10/22/02","A","A","12/26/02","DPU","3/19/03","3/19/03","A","A","5/27/03","AVD","11/21/12","2012","AVD","70.37","70.37","G/ADP/N/105/ARG",8,8,1,10,1,1,1.557061672,5.357265304,34.46767997,41.30101425,0,3285.026171,20071.96613,1.24e+11,3.94e+11,23.4304137,20.66211409,9.304636934,4.307360092,"5/30/02",2002-05-30,2002-05-30,2271,148,2002-12-26,1.24e+11,3.94e+11,23.4304137,20.66211409,34.46767997,41.30101425,3285.026171,20071.96613,9.304636934,4.307360092,"Argentina ",1995-01-01,"Australia ",1995-01-01,1,1,"Australia",1948-01-01,"Argentina",1967-10-11,1,1,10,10,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"419",NA,"ARG-AD-226",160,"2002",732,2002,732,160,"Q4_2012","Argentina","ARG-AD-224","South Korea","KOR","Flat Steel or Iron Products","5/30/02","10/22/02","10/22/02","A","A","12/26/02","DPU","3/19/03","3/19/03","A","A","5/27/03","AVD","11/21/12","2012","AVD","49.67","49.67","G/ADP/N/105/ARG",8,8,1,8,1,1,1.557061672,0.868333788,34.46767997,60.15373411,1,3285.026171,12788.58018,1.24e+11,6.09e+11,23.4304137,30.82686814,9.304636934,3.763589197,"5/30/02",2002-05-30,2002-05-30,1555,148,2002-12-26,1.24e+11,6.09e+11,23.4304137,30.82686814,34.46767997,60.15373411,3285.026171,12788.58018,9.304636934,3.763589197,"Argentina ",1995-01-01,"South Korea",1995-01-01,1,1,"South Korea",1967-04-14,"Argentina",1967-10-11,1,1,8,8,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"421",NA,"ARG-AD-228",160,"2002",560,2002,560,160,"Q4_2012","Argentina","ARG-AD-224","South Africa","ZAF","Flat Steel or Iron Products","5/30/02","10/22/02","10/22/02","A","A","12/26/02","DPU","3/19/03","3/19/03","A","A","5/27/03","AVD","11/21/12","2012","AVD","27.9","27.9","G/ADP/N/105/ARG",8,8,1,9,1,1,1.557061672,3.011960982,34.46767997,62.01047457,0,3285.026171,2425.320317,1.24e+11,1.11e+11,23.4304137,32.92328541,9.304636934,4.150523085,"5/30/02",2002-05-30,2002-05-30,1079,148,2002-12-26,1.24e+11,1.11e+11,23.4304137,32.92328541,34.46767997,62.01047457,3285.026171,2425.320317,9.304636934,4.150523085,"Argentina ",1995-01-01,"South Africa",1995-01-01,1,1,"South Africa",1948-06-13,"Argentina",1967-10-11,1,1,9,9,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"424",NA,"ARG-AD-230",160,"2002",750,2002,750,160,"Q4_2012","Argentina","ARG-AD-230","India","IND","Bicycle Tires","5/30/02","10/18/02","10/18/02","A","A","12/26/02","DPU","5/5/03","5/5/03","A","A","5/27/03","DPU","MI","MI","DPU","MI","MI","G/ADP/N/105/ARG",8,8,1,9,1,1,1.557061672,1.062797391,34.46767997,29.00009028,1,3285.026171,486.640454,1.24e+11,5.24e+11,23.4304137,14.01854169,9.304636934,20.69574147,"5/30/02",2002-05-30,2002-05-30,1533,148,2002-12-26,1.24e+11,5.24e+11,23.4304137,14.01854169,34.46767997,29.00009028,3285.026171,486.640454,9.304636934,20.69574147,"Argentina ",1995-01-01,"India ",1995-01-01,1,1,"India",1948-07-08,"Argentina",1967-10-11,1,1,9,9,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"425",NA,"ARG-AD-231",160,"2003",710,2002,710,160,"Q4_2012","Argentina","ARG-AD-231","China","CHN","Thermos and Similar","7/29/02","1/2/03","1/2/03","A","A","10/3/03",".","8/26/03","8/26/03","A","A","1/8/04","DPU","IF","IF","DPU","MI","MI","G/ADP/N/119/ARG",8,8,1,-7,0,1,1.557061672,0.780540991,34.46767997,47.69731271,0,3285.026171,1135.447952,1.24e+11,1.45e+12,23.4304137,25.13437343,9.304636934,13.74274917,"7/29/02",2002-07-29,2002-07-29,1986,208,2003-10-03,1.57e+11,1.64e+12,21.40645223,29.5575468,33.55295461,56.93216421,4134.50204,1273.640744,9.751272651,12.7973531,"Argentina ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Argentina",1967-10-11,1,NA,-7,0,8,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
