"","DSU_Case_mod","CASE_ID","s.ccodeIMP","IMP_DATE","t.ccodeIMP","i.date","t.ccodeINV","s.ccodeINV","V_NUMBER.x","AD_CTY_NAME","CASE_REPCODE","INV_CTY_NAME","INV_CTY_CODE","PRODUCT","INIT_DATE","P_DUMP_DATE","P_INJ_DATE","P_DUMP_DEC","P_INJ_DEC","P_AD_DATE","P_AD_MEASURE","F_DUMP_DATE","F_INJ_DATE","F_DUMP_DEC","F_INJ_DEC","F_AD_DATE","F_AD_MEASURE","REVOKE_DATE","REVOKE_YEAR","WTO_F_AD_MEASURE","WTO_F_MARGIN_MIN","WTO_F_MARGIN_MAX","WTO_CITATION","s.polity2INV","s.democINV","s.democ.iINV","t.polity2INV","t.democ.iINV","wtopd","s.TX.VAL.AGRI.ZS.UNINV","t.TX.VAL.AGRI.ZS.UNINV","s.NE.TRD.GNFS.ZSINV","t.NE.TRD.GNFS.ZSINV","prevint","s.NY.GDP.PCAP.CDINV","t.NY.GDP.PCAP.CDINV","s.NY.GDP.MKTP.CDINV","t.NY.GDP.MKTP.CDINV","s.NE.EXP.GNFS.ZSINV","t.NE.EXP.GNFS.ZSINV","s.NV.AGR.TOTL.ZSINV","t.NV.AGR.TOTL.ZSINV","sdateINV","cdate","einitdate","t.tenureINV","s.tenureINV","eP_AD_DATE","s.NY.GDP.MKTP.CD_IMP","t.NY.GDP.MKTP.CD_IMP","s.NE.EXP.GNFS.ZS_IMP","t.NE.EXP.GNFS.ZS_IMP","s.NE.TRD.GNFS.ZS_IMP","t.NE.TRD.GNFS.ZS_IMP","s.NY.GDP.PCAP.CD_IMP","t.NY.GDP.PCAP.CD_IMP","s.NV.AGR.TOTL.ZS_IMP","t.NV.AGR.TOTL.ZS_IMP","WTOname.x","s.WTOdate","WTOname.y","t.WTOdate","t.WTOmem","s.WTOmem","t.GATTname","t.GATTdate","s.GATTname","s.GATTdate","s.GATTmem","t.GATTmem","t.polity2_IMP","t.democ_IMP","s.polity2_IMP","s.democ_IMP","s.democ.i_IMP","t.democ.i_IMP","V_NUMBER.y","AD.imposing.country","DSU_Case","DSU.case.descriptor","Exporting.Country","DSU_INIT_YR","AD_INIT_YR","AD_OTH_YR","unique","F_DATE","chal","pan_date","panel_date","panel.i"
"2",2,"USA-AD-747",2,"1996",70,1996,70,2,"Q4_2012","USA","USA-AD-747","Mexico","MEX","Fresh Tomatoes","4/5/96","11/1/96","6/6/96","OTH","A","11/1/96",".",".",".",".",".",".",".","IF","IF","MI","MI","MI","G/ADP/N/22/USA",10,10,1,4,0,1,3.072677564,1.164146926,22.61178736,50.72412577,1,30068.22721,4088.455459,8.1e+12,3.97e+11,10.71084665,26.72858685,1.805715555,4.719838656,"4/5/96",1996-04-05,1996-04-05,491,1171,1996-11-01,8.1e+12,3.97e+11,10.71084665,26.72858685,22.61178736,50.72412577,30068.22721,4088.455459,1.805715555,4.719838656,"United States of America",1995-01-01,"Mexico ",1995-01-01,1,1,"Mexico",1986-08-24,"United States of America",1948-01-01,1,1,4,4,10,10,1,0,"Q4_2013","USA","DS-049","Anti-Dumping Investigation Regarding Imports of Fresh or Chilled Tomatoes from Mexico","Mexico",1996,"1996",1996,1,NA,1,"03/25/1995",1995-03-25,1
"6",7,"MEX-AD-183",70,"1997",2,1997,2,70,"Q4_2012","Mexico","MEX-AD-183","USA","USA","High Fructose Corn Syrup","2/27/97","6/25/97","6/25/97","A","A","6/26/97","SD","1/28/98","1/28/98","A","A","1/24/98","SD","5/20/02","2002","SD","MI","MI","G/ADP/N/41/MEX",6,6,1,10,1,1,1.002618009,2.672195833,49.32015831,23.34436894,0,4855.629476,31572.63522,4.81e+11,8.61e+12,25.23093323,11.07974676,4.37469987,1.685758917,"2/27/97",1997-02-27,1997-02-27,1499,819,1997-06-26,4.81e+11,8.61e+12,25.23093323,11.07974676,49.32015831,23.34436894,4855.629476,31572.63522,4.37469987,1.685758917,"Mexico ",1995-01-01,"United States of America",1995-01-01,1,1,"United States of America",1948-01-01,"Mexico",1986-08-24,1,1,10,10,6,6,1,1,"Q4_2013","Mexico ","DS-101","Anti-Dumping Investigation of High-Fructose Corn Syrup (HFCS) from the United States","USA",1997,"1997",1997,1,1998,1,"07/07/1995",1995-07-07,1
"7",8,"AUS-AD-344",900,"1997",225,1997,225,900,"Q4_2012","Australia","AUS-AD-331","Switzerland","CHE","Coated Woodfree Paper in Sheets","7/9/97","11/21/97","11/21/97","A","A","11/21/97","MI","5/8/98","5/8/98","N","N",".",".",".",".",".",".",".",".",10,10,1,10,1,1,8.064125384,0.594116125,37.92803761,73.74722511,0,23536.68349,38407.95376,4.36e+11,2.72e+11,19.11934236,39.17839331,3.55281644,1.478351821,"7/9/97",1997-07-09,1997-07-09,189,485,1997-11-21,4.36e+11,2.72e+11,19.11934236,39.17839331,37.92803761,73.74722511,23536.68349,38407.95376,3.55281644,1.478351821,"Australia ",1995-01-01,"Switzerland ",1995-07-01,1,1,"Switzerland",1966-08-01,"Australia",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","Australia ","DS-119","Anti-Dumping Measures on Imports of Coated Woodfree Paper Sheets","Switzerland",1998,"1997",1997,1,NA,1,"09/14/1995",1995-09-14,1
"8",9,"THA-AD-1",800,"1996",290,1996,290,800,"Q2_2012","Thailand","THA-AD-1","Poland","POL","Iron or Non-Alloy Steel: H Section","8/30/96","MI","MI","A","A","12/27/96","MI","MI","MI","A","A","5/26/97","MI","MI","MI","AVD","27.78","27.78","G/ADP/N/41/THA",9,9,1,9,1,1,5.361374003,2.237046386,84.77790103,46.04792205,0,3054.753307,4056.612425,1.82e+11,1.57e+11,39.25165463,22.30846803,9.501520234,7.54644869,"8/30/96",1996-08-30,1996-08-30,251,414,1996-12-27,1.82e+11,1.57e+11,39.25165463,22.30846803,84.77790103,46.04792205,3054.753307,4056.612425,9.501520234,7.54644869,"Thailand ",1995-01-01,"Poland ",1995-07-01,1,1,"Poland",1967-10-18,"Thailand",1982-11-20,1,1,9,9,9,9,1,1,"Q4_2013","Thailand ","DS-122","H-Beams","Poland",1998,"1996",1996,1,1997,1,"09/14/1995",1995-09-14,1
"9",10,"MEX-AD-183",70,"1997",2,1997,2,70,"Q4_2012","Mexico","MEX-AD-183","USA","USA","High Fructose Corn Syrup","2/27/97","6/25/97","6/25/97","A","A","6/26/97","SD","1/28/98","1/28/98","A","A","1/24/98","SD","5/20/02","2002","SD","MI","MI","G/ADP/N/41/MEX",6,6,1,10,1,1,1.002618009,2.672195833,49.32015831,23.34436894,0,4855.629476,31572.63522,4.81e+11,8.61e+12,25.23093323,11.07974676,4.37469987,1.685758917,"2/27/97",1997-02-27,1997-02-27,1499,819,1997-06-26,4.81e+11,8.61e+12,25.23093323,11.07974676,49.32015831,23.34436894,4855.629476,31572.63522,4.37469987,1.685758917,"Mexico ",1995-01-01,"United States of America",1995-01-01,1,1,"United States of America",1948-01-01,"Mexico",1986-08-24,1,1,10,10,6,6,1,1,"Q4_2013","Mexico ","DS-132","Corn Syrup","USA",1998,"1997",1997,0,1998,1,"09/14/1995",1995-09-14,1
"10",11,"EUN-AD-381",994,"1998",750,1997,750,994,"Q4_2012","European Union","EUN-AD-379","India","IND","Cotton Fabrics","7/11/97","4/7/98","4/7/98","A","A","4/7/98","AVD",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,1,9,1,1,1.751742861,2.004066084,62.87320261,22.22954875,1,18306.25003,427.2361968,8.89e+12,4.23e+11,32.33718379,10.50646612,2.747584066,25.88700833,"7/11/97",1997-07-11,1997-07-11,81,NA,1998-04-07,9.2e+12,4.29e+11,32.54378883,10.82856928,63.84209982,23.29101706,18919.92294,425.4452943,2.566497586,25.79098082,"European Union",1995-01-01,"India ",1995-01-01,1,1,"India",1948-07-08,NA,NA,NA,1,9,9,6,NA,1,1,"Q4_2013","EUN ","DS-140","Anti-Dumping Investigations Regarding Unbleached Cotton Fabrics from India","India",1998,"1997",1997,1,NA,1,"09/14/1995",1995-09-14,1
"11",12,"EUN-AD-356",994,"1997",750,1996,750,994,"Q4_2012","European Union","EUN-AD-355","India","IND","Bed Linen (Cotton Type)","9/13/96","6/12/97","6/12/97","A","A","6/12/97","AVD","11/28/97","11/28/97","A","A","11/28/97","AVD","12/20/03","2003","AVD","2.6","24.7","G/ADP/N/35/EEC",NA,NA,1,9,1,1,1.812418903,2.53330323,59.52104043,21.55153995,1,19449.99077,410.8183568,9.43e+12,4e+11,30.53347661,10.2061841,2.856364089,27.12742197,"9/13/96",1996-09-13,1996-09-13,104,NA,1997-06-12,8.89e+12,4.23e+11,32.33718379,10.50646612,62.87320261,22.22954875,18306.25003,427.2361968,2.747584066,25.88700833,"European Union",1995-01-01,"India ",1995-01-01,1,1,"India",1948-07-08,NA,NA,NA,1,9,9,6,NA,1,1,"Q4_2013","EUN ","DS-141","Bed Linen","India",1998,"1996",1996,1,1997,1,"09/18/1995",1995-09-18,1
"17",16,"USA-AD-791",2,"1998",732,1998,732,2,"Q4_2012","USA","USA-AD-788","South Korea","KOR","Stainless Steel Plate in Coils","4/9/98","11/4/98","5/28/98","A","A","11/4/98","AVD","3/31/99","5/12/99","A","A","5/21/99","AVD","12/1/11","2011","AVD","16.26","16.26","G/ADP/N/53/USA",10,10,1,8,1,1,2.349922309,1.10598414,22.75912907,72.9054547,1,32948.95126,8133.731245,9.09e+12,3.76e+11,10.48398631,42.35677439,1.300089704,4.636583786,"4/9/98",1998-04-09,1998-04-09,43,1905,1998-11-04,9.09e+12,3.76e+11,10.48398631,42.35677439,22.75912907,72.9054547,32948.95126,8133.731245,1.300089704,4.636583786,"United States of America",1995-01-01,"South Korea",1995-01-01,1,1,"South Korea",1967-04-14,"United States of America",1948-01-01,1,1,8,8,10,10,1,1,"Q4_2013","USA","DS-179","Stainless Steel","Korea",1999,"1998",1998,1,1999,1,"",NA,0
"18",16,"USA-AD-801",2,"1999",732,1998,732,2,"Q4_2012","USA","USA-AD-797","South Korea","KOR","Stainless Steel Sheet and Strip","6/17/98","1/4/99","8/5/98","A","A","1/4/99","AVD","6/8/99","7/28/99","A","A","7/27/99","AVD","IF","IF","AVD","MI","MI","MI",10,10,1,8,1,1,2.349922309,1.10598414,22.75912907,72.9054547,1,32948.95126,8133.731245,9.09e+12,3.76e+11,10.48398631,42.35677439,1.300089704,4.636583786,"6/17/98",1998-06-17,1998-06-17,112,1974,1999-01-04,9.67e+12,4.86e+11,10.23412686,35.77703363,23.17266209,65.43023242,34639.11984,10432.2108,1.219934045,4.75889537,"United States of America",1995-01-01,"South Korea",1995-01-01,1,1,"South Korea",1967-04-14,"United States of America",1948-01-01,1,1,8,8,10,10,1,1,"Q4_2013","USA","DS-179","Stainless Steel","Korea",1999,"1998",1998,1,1999,1,"",NA,0
"19",17,"ECU-AD-1",130,"1999",70,1998,70,130,"Q4_2012","Ecuador","ECU-AD-1","Mexico","MEX","Grey Portland Cement","1/26/98","6/1/99","6/1/99","A","A","7/14/99","AVD","1/6/00","1/6/00","A","A","1/14/00","AVD","5/4/00","2000","MI","MI","MI","MI",9,9,1,6,1,1,4.899153486,0.783309588,43.39510795,51.77609803,1,2323.556239,4986.252659,27981319125,5.02e+11,17.89195087,25.74892715,18.32287554,4.206365878,"1/26/98",1998-01-26,1998-01-26,1152,349,1999-07-14,19644866963,5.79e+11,26.37754164,25.48169145,49.2012508,51.2689011,1598.83413,5663.388512,18.32826619,3.953796773,"Ecuador ",1996-01-21,"Mexico ",1995-01-01,1,1,"Mexico",1986-08-24,NA,NA,NA,1,6,6,9,9,1,1,"Q4_2013","Ecuador ","DS-182","Provisional Anti-Dumping Measure on Cement from Mexico","Mexico",1999,"1998",1998,1,2000,1,"",NA,0
"20",18,"USA-AD-807",2,"1999",740,1998,740,2,"Q4_2012","USA","USA-AD-806","Japan","JPN","Hot Rolled Carbon Steel Flat Products","10/7/98","2/19/99","11/25/98","A","A","2/19/99","AVD","5/6/99","6/23/99","A","A","6/29/99","AVD","6/21/11","2011","AVD","17.86","67.14","G/ADP/N/53/USA",10,10,1,10,1,1,2.349922309,0.52714681,22.75912907,19.6888759,1,32948.95126,30967.28809,9.09e+12,3.91e+12,10.48398631,10.7774668,1.300089704,1.704186546,"10/7/98",1998-10-07,1998-10-07,69,2086,1999-02-19,9.67e+12,4.43e+12,10.23412686,10.17337581,23.17266209,18.75638736,34639.11984,34998.80997,1.219934045,1.679247869,"United States of America",1995-01-01,"Japan ",1995-01-01,1,1,"Japan",1955-09-10,"United States of America",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","USA","DS-184","Hot-Rolled Steel","Japan",1999,"1998",1998,1,1999,1,"03/07/1997",1997-03-07,1
"21",19,"TTO-AD-3",52,"1999",94,1998,94,52,"Q4_2012","Trinidad and Tobago","TTO-AD-3","Costa Rica","CRI","Macaroni and Spaghetti","12/31/98","12/3/99","12/3/99","A","A","12/30/99","AVD","5/19/00","5/19/00","W","W",".",".",".",".",".",".",".",".",10,10,1,10,1,1,0.153295079,4.472075063,102.2832356,97.53284273,0,4786.930366,3759.881077,6043710211,14101753567,48.46513115,47.4442833,2.181492078,12.83326036,"12/31/98",1998-12-31,1998-12-31,237,1148,1999-12-30,6808976089,15796567138,50.00280776,51.74490096,94.18470337,97.67202282,5383.521802,4111.832609,2.027936414,10.54177591,"Trinidad and Tobago",1995-03-01,"Costa Rica",1995-01-01,1,1,"Costa Rica",1990-11-24,"Trinidad and Tobago",1962-10-23,1,1,10,10,10,10,1,1,"Q4_2013","Trinidad and Tobago ","DS-185","Anti-Dumping Measures on Pasta from Costa Rica","Costa Rica ",1999,"1998",1998,1,NA,1,"",NA,0
"22",20,"TTO-AD-3",52,"1999",94,1998,94,52,"Q4_2012","Trinidad and Tobago","TTO-AD-3","Costa Rica","CRI","Macaroni and Spaghetti","12/31/98","12/3/99","12/3/99","A","A","12/30/99","AVD","5/19/00","5/19/00","W","W",".",".",".",".",".",".",".",".",10,10,1,10,1,1,0.153295079,4.472075063,102.2832356,97.53284273,0,4786.930366,3759.881077,6043710211,14101753567,48.46513115,47.4442833,2.181492078,12.83326036,"12/31/98",1998-12-31,1998-12-31,237,1148,1999-12-30,6808976089,15796567138,50.00280776,51.74490096,94.18470337,97.67202282,5383.521802,4111.832609,2.027936414,10.54177591,"Trinidad and Tobago",1995-03-01,"Costa Rica",1995-01-01,1,1,"Costa Rica",1990-11-24,"Trinidad and Tobago",1962-10-23,1,1,10,10,10,10,1,1,"Q4_2013","Trinidad and Tobago ","DS-187","Provisional Anti-Dumping Measure on Macaroni and Spaghetti from Costa Rica","Costa Rica ",1999,"1998",1998,0,NA,1,"",NA,0
"23",21,"ARG-AD-134",160,"1998",255,1997,255,160,"Q4_2012","Argentina","ARG-AD-134","Germany","DEU","Coated Cardboard","8/27/97","12/23/97","12/23/97","A","A","6/9/98","DPU","7/24/98","7/24/98","A","A","2/26/99","DPU","MI","2001","DPU","MI","MI","G/ADP/N/53/ARG",7,7,1,10,1,1,2.842551758,0.944504553,19.26442562,53.50674475,1,9939.753275,26296.53061,3.55e+11,2.16e+12,8.718137771,27.39830597,4.81158208,1.133319477,"8/27/97",1997-08-27,1997-08-27,5444,3337,1998-06-09,3.62e+11,2.18e+12,8.598203206,28.58294637,19.27581739,55.79170281,10028.81193,26547.77535,4.805017302,1.073012219,"Argentina ",1995-01-01,"Germany ",1995-01-01,1,1,"Germany",1951-10-01,"Argentina",1967-10-11,1,1,10,10,7,7,1,1,"Q4_2013","Argentina ","DS-189","Definitive Anti-Dumping Measures on Carton-Board Imports from Germany and Definitive Anti-Dumping Measures on Imports of Ceramic Tiles from Italy","EUN (for DEU)",2000,"1997",1997,1,1999,1,"05/11/1999",1999-05-11,1
"25",22,"ECU-AD-1",130,"1999",70,1998,70,130,"Q4_2012","Ecuador","ECU-AD-1","Mexico","MEX","Grey Portland Cement","1/26/98","6/1/99","6/1/99","A","A","7/14/99","AVD","1/6/00","1/6/00","A","A","1/14/00","AVD","5/4/00","2000","MI","MI","MI","MI",9,9,1,6,1,1,4.899153486,0.783309588,43.39510795,51.77609803,1,2323.556239,4986.252659,27981319125,5.02e+11,17.89195087,25.74892715,18.32287554,4.206365878,"1/26/98",1998-01-26,1998-01-26,1152,349,1999-07-14,19644866963,5.79e+11,26.37754164,25.48169145,49.2012508,51.2689011,1598.83413,5663.388512,18.32826619,3.953796773,"Ecuador ",1996-01-21,"Mexico ",1995-01-01,1,1,"Mexico",1986-08-24,NA,NA,NA,1,6,6,9,9,1,1,"Q4_2013","Ecuador ","DS-191","Definitive Anti-Dumping Measure on Cement from Mexico","Mexico",1999,"1998",1998,0,2000,1,"01/17/1996",1996-01-17,1
"27",24,"USA-AD-817",2,"1999",750,1999,750,2,"Q4_2012","USA","USA-AD-815","India","IND","Cut-To-Length Carbon Steel Plate","2/24/99","7/29/99","4/8/99","A","A","7/29/99","AVD","12/29/99","2/10/00","A","A","2/10/00","AVD","IF","IF","AVD","72.49","72.49","G/ADP/N/59/USA",10,10,1,9,1,1,2.077063761,1.418164643,23.17266209,24.38790891,1,34639.11984,455.4735407,9.67e+12,4.67e+11,10.23412686,11.25469183,1.219934045,24.50227807,"2/24/99",1999-02-24,1999-02-24,342,2226,1999-07-29,9.67e+12,4.67e+11,10.23412686,11.25469183,23.17266209,24.38790891,34639.11984,455.4735407,1.219934045,24.50227807,"United States of America",1995-01-01,"India ",1995-01-01,1,1,"India",1948-07-08,"United States of America",1948-01-01,1,1,9,9,10,10,1,1,"Q4_2013","USA","DS-206","Steel Plate","India",2000,"1999",1999,1,2000,1,"02/22/1996",1996-02-22,1
"29",27,"PHL-AD-15",840,"1999",732,1999,732,840,"Q4_2012","Philippines","PHL-AD-15","South Korea","KOR","Polypropylene Resins","8/16/99","11/10/99","11/10/99","A","A","11/12/99","MI","8/30/00","8/30/00","A","A","10/2/00","MI","11/8/01","2001","MI","2.09","39.42","G/ADP/N/72/PHL",8,8,1,8,1,1,0.524261931,1.002573,94.90945626,65.43023242,1,1091.782723,10432.2108,82995145601,4.86e+11,45.48930623,35.77703363,15.21112017,4.75889537,"8/16/99",1999-08-16,1999-08-16,537,412,1999-11-12,82995145601,4.86e+11,45.48930623,35.77703363,94.90945626,65.43023242,1091.782723,10432.2108,15.21112017,4.75889537,"Philippines ",1995-01-01,"South Korea",1995-01-01,1,1,"South Korea",1967-04-14,"Philippines",1979-12-27,1,1,8,8,8,8,1,1,"Q4_2013","Philippines ","DS-215","Anti-Dumping Measures Regarding Polypropylene Resins from Korea","Korea",2000,"1999",1999,1,2000,1,"04/11/1996",1996-04-11,1
"30",28,"MEX-AD-214",70,"2000",140,1999,140,70,"Q4_2012","Mexico","MEX-AD-214","Brazil","BRA","Power Transformers","11/11/99","7/13/00","7/13/00","A","A","7/18/00","AVD","3/15/01","3/15/01","N","N",".",".",".",".",".",".",".",".",6,6,1,8,1,1,0.624501262,4.506917669,51.2689011,20.22715514,1,5663.388512,3411.865896,5.79e+11,5.87e+11,25.48169145,9.411088649,3.953796773,5.473261496,"11/11/99",1999-11-11,1999-11-11,1775,1806,2000-07-18,6.84e+11,6.45e+11,26.27670441,9.978193817,53.13105126,21.71995842,6581.536932,3694.462668,3.535313249,5.602902758,"Mexico ",1995-01-01,"Brazil ",1995-01-01,1,1,"Brazil",1948-07-30,"Mexico",1986-08-24,1,1,8,8,8,8,1,1,"Q4_2013","Mexico ","DS-216","Provisional Anti-Dumping Measure on Electric Transformers","Brazil",2000,"1999",1999,1,NA,1,"",NA,0
"31",29,"EUN-AD-446",994,"2000",140,1999,140,994,"Q4_2012","European Union","EUN-AD-445","Brazil","BRA","Malleable Cast Iron Pipe Fittings","5/29/99","2/28/00","2/28/00","A","A","2/28/00","AVD","8/11/00","8/11/00","A","A","8/11/00","AVD","8/6/05","2005","AVD","34.8","34.8","G/ADP/N/72/EEC",NA,NA,1,8,1,1,1.591942935,4.506917669,64.65834607,20.22715514,1,18863.99964,3411.865896,9.19e+12,5.87e+11,32.69786017,9.411088649,2.398573448,5.473261496,"5/29/99",1999-05-29,1999-05-29,1609,NA,2000-02-28,8.52e+12,6.45e+11,36.11678545,9.978193817,72.08801675,21.71995842,17468.29776,3694.462668,2.288564687,5.602902758,"European Union",1995-01-01,"Brazil ",1995-01-01,1,1,"Brazil",1948-07-30,NA,NA,NA,1,8,8,6,NA,1,1,"Q4_2013","EUN ","DS-219","Tube or Pipe Fittings","Brazil",2000,"1999",1999,1,2000,1,"",NA,0
"37",35,"USA-AD-928",2,"2001",20,2001,20,2,"Q4_2012","USA","USA-AD-928","Canada","CAN","Softwood Lumber","4/9/01","11/6/01","5/23/01","A","A","11/6/01","AVD","4/2/02","5/22/02","A","A","5/22/02","AVD","12/12/06","2006","AVD","2.18","12.44","G/ADP/N/92/USA",10,10,1,10,1,1,2.306059661,5.577059012,22.8379434,78.79827146,0,37285.81592,23573.75007,1.06e+13,7.33e+11,9.68255014,42.24634131,1.181402837,2.237988252,"4/9/01",2001-04-09,2001-04-09,2713,78,2001-11-06,1.06e+13,7.33e+11,9.68255014,42.24634131,22.8379434,78.79827146,37285.81592,23573.75007,1.181402837,2.237988252,"United States of America",1995-01-01,"Canada ",1995-01-01,1,1,"Canada",1948-01-01,"United States of America",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","USA","DS-247","Provisional Anti-Dumping Measure on Imports of Certain Softwood Lumber from Canada","Canada",2002,"2001",2001,1,2002,1,"01/09/1997",1997-01-09,1
"40",37,"USA-AD-928",2,"2001",20,2001,20,2,"Q4_2012","USA","USA-AD-928","Canada","CAN","Softwood Lumber","4/9/01","11/6/01","5/23/01","A","A","11/6/01","AVD","4/2/02","5/22/02","A","A","5/22/02","AVD","12/12/06","2006","AVD","2.18","12.44","G/ADP/N/92/USA",10,10,1,10,1,1,2.306059661,5.577059012,22.8379434,78.79827146,0,37285.81592,23573.75007,1.06e+13,7.33e+11,9.68255014,42.24634131,1.181402837,2.237988252,"4/9/01",2001-04-09,2001-04-09,2713,78,2001-11-06,1.06e+13,7.33e+11,9.68255014,42.24634131,22.8379434,78.79827146,37285.81592,23573.75007,1.181402837,2.237988252,"United States of America",1995-01-01,"Canada ",1995-01-01,1,1,"Canada",1948-01-01,"United States of America",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","USA","DS-264","Softwood Lumber V","Canada",2002,"2001",2001,0,2002,1,"",NA,0
"41",38,"USA-AD-711",2,"1995",160,1994,160,2,"Q4_2012","USA","USA-AD-711","Argentina","ARG","Oil Country Tubular Goods","7/7/94","2/2/95","8/24/94","A","A","2/2/95","AVD","6/28/95","8/10/95","A","A","8/11/95","AVD","7/25/06","2006","AVD","1.36","1.36","G/ADP/N/4/USA",10,10,1,7,1,0,3.489054379,3.360702032,20.99278942,14.97014353,0,27776.4265,9065.649524,7.31e+12,3.12e+11,9.863587232,6.21608196,1.834777514,4.662412404,"7/7/94",1994-07-07,1994-07-07,2190,533,1995-02-02,7.66e+12,3.13e+11,10.60542797,7.991430122,22.38256785,16.32174519,28781.94969,8973.321347,1.607811468,4.909063075,"United States of America",1995-01-01,"Argentina ",1995-01-01,1,1,"Argentina",1967-10-11,"United States of America",1948-01-01,1,1,7,7,10,10,1,1,"Q4_2013","USA","DS-268","Oil Country Tubular Goods Sunset Reviews","Argentina",2002,"1994",2001,1,1995,1,"10/03/1996",1996-10-03,1
"42",39,"PER-AD-81",135,"2002",160,2001,160,135,"Q4_2012","Peru","PER-AD-81","Argentina","ARG","Vegetable Oil","11/29/01","4/17/02","4/17/02","A","A","4/18/02","AVD","7/15/02","7/15/02","A","A","7/27/02","AVD","MI","MI","MI","MI","MI","G/ADP/N/98/PER",9,9,1,8,1,1,2.488004899,1.618177593,34.99158095,18.03958519,1,1945.032871,8732.466063,51295103189,3.25e+11,16.3624138,9.558790367,8.714726252,4.288049878,"11/29/01",2001-11-29,2001-11-29,720,124,2002-04-18,53992755100,1.24e+11,16.99539171,23.4304137,35.10046083,34.46767997,2019.937857,3285.026171,8.334276514,9.304636934,"Peru ",1995-01-01,"Argentina ",1995-01-01,1,1,"Argentina",1967-10-11,"Peru",1951-10-07,1,1,8,8,9,9,1,1,"Q4_2013","Peru ","DS-272","Provisional Anti-Dumping Duties on Vegetable Oils from Argentina","Argentina",2002,"2001",2001,1,2002,1,"06/19/1996",1996-06-19,1
"43",39,"PER-AD-83",135,"2002",160,2002,160,135,"Q4_2012","Peru","PER-AD-83","Argentina","ARG","Vegetable Oil","2/21/02","8/2/02","8/2/02","A","A","8/3/02","AVD","11/26/02","11/26/02","A","A","11/30/02","AVD","2/15/12","2012","AVD","17","20","G/ADP/N/98/PER",9,9,1,8,1,1,2.860930476,1.557061672,35.10046083,34.46767997,1,2019.937857,3285.026171,53992755100,1.24e+11,16.99539171,23.4304137,8.334276514,9.304636934,"2/21/02",2002-02-21,2002-02-21,50,208,2002-08-03,53992755100,1.24e+11,16.99539171,23.4304137,35.10046083,34.46767997,2019.937857,3285.026171,8.334276514,9.304636934,"Peru ",1995-01-01,"Argentina ",1995-01-01,1,1,"Argentina",1967-10-11,"Peru",1951-10-07,1,1,8,8,9,9,1,1,"Q4_2013","Peru ","DS-272","Provisional Anti-Dumping Duties on Vegetable Oils from Argentina","Argentina",2002,"2002",2002,1,2002,1,"06/19/1996",1996-06-19,1
"44",40,"USA-AD-928",2,"2001",20,2001,20,2,"Q4_2012","USA","USA-AD-928","Canada","CAN","Softwood Lumber","4/9/01","11/6/01","5/23/01","A","A","11/6/01","AVD","4/2/02","5/22/02","A","A","5/22/02","AVD","12/12/06","2006","AVD","2.18","12.44","G/ADP/N/92/USA",10,10,1,10,1,1,2.306059661,5.577059012,22.8379434,78.79827146,0,37285.81592,23573.75007,1.06e+13,7.33e+11,9.68255014,42.24634131,1.181402837,2.237988252,"4/9/01",2001-04-09,2001-04-09,2713,78,2001-11-06,1.06e+13,7.33e+11,9.68255014,42.24634131,22.8379434,78.79827146,37285.81592,23573.75007,1.181402837,2.237988252,"United States of America",1995-01-01,"Canada ",1995-01-01,1,1,"Canada",1948-01-01,"United States of America",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","USA","DS-277","Softwood Lumber VI","Canada",2002,"2001",2001,0,2002,1,"",NA,0
"51",44,"USA-AD-799",2,"1999",325,1998,325,2,"Q4_2012","USA","USA-AD-797","Italy","ITA","Stainless Steel Sheet and Strip","6/17/98","1/4/99","8/5/98","A","A","1/4/99","AVD","6/8/99","7/28/99","A","A","7/27/99","AVD","8/10/11","2011","AVD","MI","MI","MI",10,10,1,10,1,1,2.349922309,0.634332938,22.75912907,47.08565282,1,32948.95126,21519.06412,9.09e+12,1.22e+12,10.48398631,25.15430622,1.300089704,3.098162293,"6/17/98",1998-06-17,1998-06-17,760,1974,1999-01-04,9.67e+12,1.21e+12,10.23412686,24.27992645,23.17266209,46.64130468,34639.11984,21227.31087,1.219934045,3.027755412,"United States of America",1995-01-01,"Italy ",1995-01-01,1,1,"Italy",1950-05-30,"United States of America",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","USA","DS-294","Zeroing (EC)","EUN",2003,"1998",2002,1,1999,1,"09/20/1996",1996-09-20,1
