"","obsid","leadid","ccode","idacr","leader","startdate","enddate","bornin","died","eindate","eoutdate","entry","exit","exitcode","prevtimesinoffice","posttenurefate","gender","borndate","yrborn","deathdate","yrdied"
"35","CAN-1920","A2.9-103",20,"CAN","Meighen","10/07/1920","29/12/1921","1874","1960",1920-07-10,1921-12-29,0,1,0,0,0,"M",NA,1874,NA,1960
"36","CAN-1921","A2.9-106",20,"CAN","King","29/12/1921","28/06/1926","1874","1951",1921-12-29,1926-06-28,0,1,0,0,0,"M",NA,1874,NA,1951
"37","CAN-1926-1","A2.9-109",20,"CAN","Meighen","29/06/1926","25/09/1926","1874","1960",1926-06-29,1926-09-25,0,1,0,1,0,"M",NA,1874,NA,1960
"38","CAN-1926-2","A2.9-112",20,"CAN","King","25/09/1926","07/08/1930","1874","1951",1926-09-25,1930-08-07,0,1,0,1,0,"M",NA,1874,NA,1951
"39","CAN-1930","A2.9-115",20,"CAN","Bennett","07/08/1930","23/10/1935","1870","1947",1930-08-07,1935-10-23,0,1,0,0,0,"M",NA,1870,NA,1947
"40","CAN-1935","A2.9-118",20,"CAN","King","23/10/1935","15/11/1948","1874","1951",1935-10-23,1948-11-15,0,2.1,0,2,0,"M",NA,1874,NA,1951
"41","CAN-1948","A2.9-121",20,"CAN","St. Laurent","15/11/1948","21/06/1957","1/2/1882","1973",1948-11-15,1957-06-21,0,1,0,0,0,"M",1882-02-01,1882,NA,1973
"42","CAN-1957","A2.9-124",20,"CAN","Diefenbaker","21/06/1957","22/04/1963","18/9/1895","1979",1957-06-21,1963-04-22,0,1,0,0,0,"M",1895-09-18,1895,NA,1979
"43","CAN-1963","A2.9-127",20,"CAN","Pearson","22/04/1963","20/04/1968","23/4/1897","1972",1963-04-22,1968-04-20,0,1,0,0,0,"M",1897-04-23,1897,NA,1972
"44","CAN-1968","A2.9-130",20,"CAN","Trudeau","20/04/1968","04/06/1979","18/10/1919","2000",1968-04-20,1979-06-04,0,1,0,0,0,"M",1919-10-18,1919,NA,2000
"45","CAN-1979","A2.9-133",20,"CAN","Clark","04/06/1979","03/03/1980","5/6/1939","-777",1979-06-04,1980-03-03,0,1,0,0,0,"M",1939-06-05,1939,NA,-777
"46","CAN-1980","A2.9-136",20,"CAN","Trudeau","03/03/1980","30/06/1984","18/10/1919","2000",1980-03-03,1984-06-30,0,1,0,1,0,"M",1919-10-18,1919,NA,2000
"47","CAN-1984-1","A2.9-139",20,"CAN","Turner","30/06/1984","17/09/1984","7/6/1929","-777",1984-06-30,1984-09-17,0,1,0,0,0,"M",1929-06-07,1929,NA,-777
"48","CAN-1984-2","A2.9-142",20,"CAN","Mulroney","17/09/1984","25/06/1993","20/3/1939","-777",1984-09-17,1993-06-25,0,1,0,0,0,"M",1939-03-20,1939,NA,-777
"49","CAN-1993-1","A2.9-145",20,"CAN","Kim Campbell","25/06/1993","04/11/1993","1947","-777",1993-06-25,1993-11-04,0,1,0,0,0,"F",NA,1947,NA,-777
"50","CAN-1993-2","A2.9-148",20,"CAN","Chretien","04/11/1993","12/12/2003","1939","-777",1993-11-04,2003-12-12,0,1,0,0,0,"M",NA,1939,NA,-777
"51","CAN-2003","A2.9-151",20,"CAN","Paul Martin","12/12/2003","31/12/2004","1938","-777",2003-12-12,2004-12-31,0,-888,0,0,-888,"M",NA,1938,NA,-777
"52","BHM-1967","A2.9-154",31,"BHM","Pindling","16/01/1967","21/08/1992","1930","2000",1967-01-16,1992-08-21,0,1,0,0,0,"M",NA,1930,NA,2000
"53","BHM-1992","A2.9-157",31,"BHM","Ingraham","21/08/1992","03/05/2002","1947","-777",1992-08-21,2002-05-03,0,1,0,0,0,"M",NA,1947,NA,-777
"54","BHM-2002","A2.9-160",31,"BHM","Christie","03/05/2002","31/12/2004","1943","-777",2002-05-03,2004-12-31,0,-888,0,0,-888,"M",NA,1943,NA,-777
"55","CUB-1902","A2.9-163",40,"CUB","Palma","20/05/1902","28/09/1906","9/7/1835","1908",1902-05-20,1906-09-28,0,3,-999,0,0,"M",1835-07-09,1835,NA,1908
"56","CUB-1909","A2.9-166",40,"CUB","Gomez","28/01/1909","20/05/1913","6/7/1858","1921",1909-01-28,1913-05-20,0,1,0,0,0,"M",1858-07-06,1858,NA,1921
"57","CUB-1913","A2.9-169",40,"CUB","Menocal","20/05/1913","20/05/1921","17/12/1868","1941",1913-05-20,1921-05-20,0,1,0,0,1,"M",1868-12-17,1868,NA,1941
