"","year","ccode","polity2","democ"
"253",1950,375,10,10
"254",1950,220,10,10
"255",1950,265,-8,0
"256",1950,255,10,10
"257",1950,350,4,7
"258",1950,90,2,4
"259",1950,41,-5,0
"260",1950,91,-3,1
"261",1950,310,-7,0
"262",1950,750,9,9
"263",1950,850,0,3
"264",1950,205,8,8
"265",1950,630,-1,3
"266",1950,645,-4,1
"267",1950,666,10,10
"268",1950,325,10,10
"269",1950,663,-10,0
"270",1950,740,NA,-66
"271",1950,450,-6,0
"272",1950,660,2,4
"273",1950,212,10,10
"274",1950,70,-6,0
"275",1950,712,-9,0
"276",1950,775,8,8
"277",1950,790,-5,0
"278",1950,920,10,10
"279",1950,93,-8,0
"280",1950,385,10,10
"281",1950,210,10,10
"282",1950,698,-6,0
"283",1950,95,-1,1
"284",1950,150,-5,1
"285",1950,135,-2,1
"286",1950,840,5,6
"287",1950,769,4,4
"288",1950,290,-7,0
"289",1950,235,-9,0
"290",1950,731,-7,0
"291",1950,732,-3,1
"292",1950,360,-7,0
"293",1950,560,4,7
"294",1950,92,-6,0
"295",1950,670,-10,0
"296",1950,230,-7,0
"297",1950,780,7,7
"298",1950,380,10,10
"299",1950,225,10,10
"300",1950,652,2,5
"301",1950,713,-8,0
"302",1950,800,-3,1
"303",1950,640,7,7
"304",1950,200,10,10
"305",1950,165,0,3
"306",1950,2,10,10
"307",1950,364,-9,0
"308",1950,101,-3,1
"309",1950,678,-6,1
"310",1950,345,-7,0
"311",1951,700,-10,0
"312",1951,339,-9,0
"313",1951,160,-9,0
"314",1951,900,10,10
"315",1951,305,10,10
"316",1951,211,10,10
"317",1951,760,-10,0
"318",1951,145,-5,1
"319",1951,140,5,6
"320",1951,355,-7,0
"321",1951,20,10,10
"322",1951,155,2,3
"323",1951,710,-8,0
"324",1951,100,-5,1
"325",1951,94,10,10
"326",1951,40,3,4
"327",1951,315,-7,0
"328",1951,390,10,10
"329",1951,42,-9,0
"330",1951,130,2,4
"331",1951,651,1,5
"332",1951,530,-9,0
"333",1951,375,10,10
"334",1951,220,10,10
"335",1951,265,-8,0
"336",1951,255,10,10
"337",1951,350,4,7
"338",1951,90,2,4
"339",1951,41,-5,0
"340",1951,91,-3,1
"341",1951,310,-7,0
"342",1951,750,9,9
"343",1951,850,0,3
"344",1951,205,8,8
"345",1951,630,-1,3
"346",1951,645,-4,1
"347",1951,666,10,10
"348",1951,325,10,10
"349",1951,663,-4,1
"350",1951,740,NA,-66
"351",1951,450,-6,0
"352",1951,660,2,4
"353",1951,620,-7,0
"354",1951,212,10,10
"355",1951,70,-6,0
"356",1951,712,-9,0
"357",1951,775,8,8
"358",1951,790,-7,0
"359",1951,920,10,10
"360",1951,93,-8,0
"361",1951,385,10,10
"362",1951,210,10,10
"363",1951,698,-6,0
"364",1951,95,-1,1
"365",1951,150,-5,1
"366",1951,135,-2,1
"367",1951,840,5,6
"368",1951,769,5,5
"369",1951,290,-7,0
"370",1951,235,-9,0
"371",1951,731,-7,0
"372",1951,732,-3,1
"373",1951,360,-7,0
"374",1951,560,4,7
"375",1951,92,-6,0
"376",1951,670,-10,0
"377",1951,230,-7,0
"378",1951,780,7,7
"379",1951,380,10,10
"380",1951,225,10,10
"381",1951,652,-7,0
"382",1951,713,-8,0
"383",1951,800,-3,1
"384",1951,640,7,7
"385",1951,200,10,10
"386",1951,165,0,3
"387",1951,2,10,10
"388",1951,364,-9,0
"389",1951,101,-3,1
"390",1951,678,-6,1
"391",1951,345,-7,-88
"392",1952,700,-10,0
"393",1952,339,-9,0
"394",1952,160,-9,0
"395",1952,900,10,10
"396",1952,305,10,10
"397",1952,211,10,10
"398",1952,760,-10,0
"399",1952,145,-4,-88
"400",1952,140,5,6
"401",1952,355,-7,0
"402",1952,20,10,10
"403",1952,155,2,3
"404",1952,710,-8,0
"405",1952,100,-5,1
"406",1952,94,10,10
"407",1952,40,0,-88
"408",1952,315,-7,0
"409",1952,390,10,10
"410",1952,42,-9,0
"411",1952,130,2,4
"412",1952,651,-7,0
"413",1952,530,-9,0
"414",1952,375,10,10
"415",1952,220,10,10
"416",1952,265,-8,0
"417",1952,255,10,10
"418",1952,350,4,7
"419",1952,90,2,4
"420",1952,41,-5,0
"421",1952,91,-3,1
"422",1952,310,-7,0
"423",1952,750,9,9
"424",1952,850,0,3
"425",1952,205,10,10
"426",1952,630,-1,3
"427",1952,645,-4,1
"428",1952,666,10,10
"429",1952,325,10,10
"430",1952,663,-1,3
"431",1952,740,10,10
"432",1952,450,-6,0
"433",1952,660,2,4
"434",1952,620,-7,0
"435",1952,212,10,10
"436",1952,70,-6,0
"437",1952,712,-7,0
"438",1952,775,8,8
"439",1952,790,-7,0
"440",1952,920,10,10
"441",1952,93,-8,0
"442",1952,385,10,10
"443",1952,210,10,10
"444",1952,698,-6,0
